"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BT1","1","Battery","","","","Battery:BatteryHolder_Keystone_2460_1xAA",""
"C1,C5,C6,C7,C8,C10,C11,C12","8","100n","","","","Capacitor_SMD:C_0402_1005Metric",""
"C2,C3,C9","3","10u","","","","Capacitor_SMD:C_0402_1005Metric",""
"C4","1","22u","","","","Capacitor_SMD:C_Elec_3x5.4",""
"D1","1","1N914WT","","","","Diode_SMD:D_SOD-523","http://www.mouser.com/ds/2/149/1N4148WT-461550.pdf"
"F1","1","1a","","","","Fuse:Fuse_1206_3216Metric",""
"J1","1","USB_A","","","","Connector_USB:USB3_A_Molex_48393-001",""
"J2","1","Conn_01x04","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"R1","1","360","","","","Resistor_SMD:R_0402_1005Metric",""
"R2","1","220","","","","Resistor_SMD:R_0402_1005Metric",""
"R3,R4,R5,R7","4","10k","","","","Resistor_SMD:R_0402_1005Metric",""
"R6,R8,R9","3","4.7k","","","","Resistor_SMD:R_0402_1005Metric",""
"U1","1","ESP32-S2-WROVER-I","","","","RF_Module:ESP32-S2-WROVER","https://www.espressif.com/sites/default/files/documentation/esp32-s2-wroom_esp32-s2-wroom-i_datasheet_en.pdf"
"U2","1","BME680","","","","Package_LGA:Bosch_LGA-8_3x3mm_P0.8mm_ClockwisePinNumbering","https://ae-bst.resource.bosch.com/media/_tech/media/datasheets/BST-BME680-DS001.pdf"
"U3","1","SCD40-D-R2","","","","Sensor:Sensirion_SCD4x-1EP_10.1x10.1mm_P1.25mm_EP4.8x4.8mm","https://sensirion.com/media/documents/E0F04247/631EF271/CD_DS_SCD40_SCD41_Datasheet_D1.pdf"
"U4","1","DHT11","","","","Sensor:Aosong_DHT11_5.5x12.0_P2.54mm","http://akizukidenshi.com/download/ds/aosong/DHT11.pdf"
"U5","1","AMS1117","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
